YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 09 18  63  6.8  7.7  1.51  7.69  5.31  98 1011.7  23.8  23.5 999.0 99.0
1999 01 09 19  69  7.8  9.3  1.55  7.69  5.36  82 1012.5  23.8  23.5 999.0 99.0
1999 01 09 20  69  6.9  8.2  1.55  9.09  5.16  66 1012.6  23.8  23.5 999.0 99.0
1999 01 09 21  58  6.6  8.0  1.54  6.67  5.10  98 1011.9  23.8  23.5 999.0 99.0
1999 01 09 22  65  7.6  8.8  1.45  5.88  5.25  79 1011.2  24.2  23.7 999.0 99.0
1999 01 09 23  66  7.0  8.2  1.54  5.00  5.23  95 1010.3  24.2  23.7 999.0 99.0
1999 01 10 00  65  7.4  8.4  1.56  7.14  5.31  88 1009.6  24.2  23.7 999.0 99.0
1999 01 10 01  62  7.1  8.4  1.63 14.29  5.47 311 1008.8  23.8  23.7 999.0 99.0
1999 01 10 02  64  7.1  8.1  1.58  5.88  5.26  77 1008.7  24.2  23.7 999.0 99.0
1999 01 10 03  62  6.8  7.7  1.61  5.88  5.25 100 1009.1  24.2  23.7 999.0 99.0
1999 01 10 04  66  6.9  8.2  1.61 14.29  5.40 185 1009.6  24.2  23.7 999.0 99.0
1999 01 10 05  64  8.0  8.9  1.64 14.29  5.40 338 1010.2  24.1  23.7 999.0 99.0
1999 01 10 06  62  7.0  8.1  1.71 14.29  5.58 315 1011.0  23.8  23.7 999.0 99.0
1999 01 10 07  65  7.7  8.8  1.56  7.14  5.32  90 1011.7  23.8  23.7 999.0 99.0
1999 01 10 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 09  55  7.2  8.2  1.63  5.88  5.68  83 1011.8  23.7  23.7 999.0 99.0
1999 01 10 10  52  6.6  7.8  1.66  8.33  5.66  68 1011.7  23.7  23.6 999.0 99.0
1999 01 10 11  54  6.6  7.7  1.58 14.29  5.74 323 1011.5  23.5  23.5 999.0 99.0
1999 01 10 12  61  5.7  6.4  1.77  9.09  6.18  64 1011.1  23.5  23.7 999.0 99.0
1999 01 10 13  61  6.1  7.0  1.62 14.29  6.11 321 1010.3  23.5  23.7 999.0 99.0
1999 01 10 14  59  6.8  7.9  1.73 12.50  6.25 340 1010.4  23.5  23.5 999.0 99.0
1999 01 10 15  69  6.9  8.0  1.79 16.67  6.41 339 1011.0  23.5  23.5 999.0 99.0
1999 01 10 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 17  58  6.4  7.3  1.98 14.29  6.59 323 1012.2  23.5  23.5 999.0 99.0
1999 01 10 18  68  7.9  9.4  1.80 16.67  6.70 337 1012.7  23.7  23.5 999.0 99.0
1999 01 10 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 20  64  6.8  7.9  2.07 16.67  6.78 337 1012.7  23.8  23.5 999.0 99.0
1999 01 10 21  68  7.5  8.5  2.09 16.67  6.89 334 1012.1  24.0  23.7 999.0 99.0
1999 01 10 22  66  6.5  7.5  2.10 14.29  7.17 325 1011.6  23.8  23.7 999.0 99.0
1999 01 10 23  71  6.0  7.0  2.21 14.29  7.10 329 1011.1  23.9  23.8 999.0 99.0
1999 01 11 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 11 01  68  5.6  6.8  2.19 14.29  7.39 329 1009.8  24.2  23.8 999.0 99.0
1999 01 11 02  70  5.5  6.5  2.15 14.29  7.53 331 1009.6  24.2  24.2 999.0 99.0
1999 01 11 03  71  4.1  4.9  2.37 14.29  8.07 335 1009.7  24.2  24.2 999.0 99.0
1999 01 11 04  71  4.3  5.1  2.49 14.29  8.34 332 1010.3  24.2  24.1 999.0 99.0
1999 01 11 05  76  5.0  5.7  2.54 16.67  8.72 340 1010.9  23.8  23.8 999.0 99.0
1999 01 11 06  65  4.6  5.7  2.57 14.29  9.12 336 1011.5  23.8  23.8 999.0 99.0
1999 01 11 07  62  4.6  5.3  2.52 14.29  8.94 333 1012.5  23.8  23.8 999.0 99.0
1999 01 11 08  63  5.2  6.0  2.70 16.67  9.63 337 1012.7  23.8  23.8 999.0 99.0
1999 01 11 09  77  5.5  6.5  2.81 14.29  9.70 338 1012.8  23.8  23.8 999.0 99.0
1999 01 11 10  69  5.5  6.8  2.80 16.67  9.63 340 1012.1  23.7  23.8 999.0 99.0
1999 01 11 11  62  5.1  5.9  2.73 14.29 10.38 335 1011.9  23.7  23.8 999.0 99.0
