#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 07 04 00  87  7.7  9.7  2.09  6.25  5.28  98 1008.6  24.7  24.5 999.0 99.0 99.00
2008 01 07 05 00  92  8.1  9.7  2.24  9.09  5.63  50 1009.3  24.7  24.5 999.0 99.0 99.00
2008 01 07 06 00  86  8.6  9.7  2.41  8.33  5.62  66 1010.0  24.8  24.4 999.0 99.0 99.00
2008 01 07 07 00  86  7.2  8.5  2.33  9.09  5.84  59 1010.9  24.8  24.4 999.0 99.0 99.00
2008 01 07 08 00  79  8.7 10.6  2.22  6.67  5.73  98 1011.3  24.7  24.4 999.0 99.0 99.00
2008 01 07 09 00  82  7.6  8.9  2.27 13.79  5.74   3 1011.2  24.7  24.3 999.0 99.0 99.00
2008 01 07 10 00  75  8.0  9.6  2.27 13.79  5.76   8 1011.2  24.6  24.3 999.0 99.0 99.00
2008 01 07 11 00  81  8.3  9.8  2.20 12.90  5.60  13 1010.5  24.6  24.3 999.0 99.0 99.00
2008 01 07 12 00  80  9.3 11.0  2.13 12.90  5.55   4 1009.5  24.5  24.3 999.0 99.0 99.00
2008 01 07 13 00  79  9.4 11.3  2.42  6.67  5.63  84 1009.0  24.5  24.3 999.0 99.0 99.00
2008 01 07 14 00  84  8.9 10.6  2.29  7.14  5.54  87 1009.2  24.5  24.3 999.0 99.0 99.00
2008 01 07 15 00  85  8.8 10.9  2.26 12.90  5.61  12 1009.5  24.5  24.3 999.0 99.0 99.00
2008 01 07 16 00  86  9.4 11.0  2.29 12.90  5.74  11 1010.2  24.6  24.2 999.0 99.0 99.00
2008 01 07 17 00  85  8.6  9.8  2.36  6.67  5.75  92 1010.9  24.6  24.2 999.0 99.0 99.00
2008 01 07 18 00  87  9.1 10.9  2.40  8.33  5.69  60 1011.7  24.6  24.3 999.0 99.0 99.00
2008 01 07 19 00  88  7.6  8.8  2.34  7.69  5.84  75 1012.2  24.7  24.3 999.0 99.0 99.00
2008 01 07 20 00  91  8.5 10.2  2.25  7.69  5.73  78 1011.7  24.8  24.3 999.0 99.0 99.00
2008 01 07 21 00  90  8.6  9.8  2.38  9.09  5.84  36 1011.2  24.7  24.4 999.0 99.0 99.00
2008 01 07 22 00  87  9.0 10.9  2.40  9.09  5.66  55 1010.3  24.7  24.4 999.0 99.0 99.00
2008 01 07 23 00  93  9.0 10.4  2.31  8.33  5.47  60 1009.5  24.8  24.5 999.0 99.0 99.00
2008 01 08 00 00  90  9.4 10.8  2.24  7.69  5.44  77 1008.4  24.8  24.5 999.0 99.0 99.00
2008 01 08 01 00  89  9.7 10.9  2.33  9.09  5.24  40 1007.6  24.8  24.6 999.0 99.0 99.00
2008 01 08 02 00  87  9.7 12.8  2.29  9.09  5.40  55 1007.2  24.8  24.6 999.0 99.0 99.00
2008 01 08 03 00  87  9.5 11.5  2.19  6.67  5.06 100 1007.6  24.9  24.6 999.0 99.0 99.00
2008 01 08 04 00  85 10.4 12.1  2.52  8.33  5.48  71 1007.9  24.9  24.6 999.0 99.0 99.00
